DEDUPLICATION REPORT (DISCARDED FILES)
========================================
Total Files Discarded: 3974
Breakdown by Source:
  - EXP_BEST: 0
  - EXP_OTHER: 3929
  - AF_TRIMMED: 0
  - AF_RAW: 45

Detailed List:
PDB_ID	Source	Folder
4CUD	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4A63	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5HLW	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2XWR	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7VIE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5MG7	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5FVW	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6OSP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2J1W	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5WRI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5MYO	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2FJZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1RWN	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4BUU	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4A9C	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2GWH	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4W9Y	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8T82	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5U7J	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3LM5	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7SCD	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7LBK	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6NGE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6DJJ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7UL2	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1YCR	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6SJU	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5OL0	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1HSE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6LB5	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2CJY	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3IFP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7CX3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7ULX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1JY0	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7MHD	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2A1X	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7QJU	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
