FINAL SELECTION REPORT
========================================
Total Unique Structures: 21240
Breakdown by Source:
  - EXP_BEST: 7473
  - EXP_OTHER: 12438
  - AF_TRIMMED: 1131
  - AF_RAW: 198

Detailed List:
PDB_ID	Source	Original_File
4IBT	EXP_BEST	clean_4IBT.pdb
4CAI	EXP_BEST	clean_4CAI.pdb
6X3S	EXP_BEST	clean_6X3S.pdb
8CUD	EXP_BEST	clean_8CUD.pdb
7VF3	EXP_BEST	clean_7VF3.pdb
2BTP	EXP_BEST	clean_2BTP.pdb
3UFL	EXP_BEST	clean_3UFL.pdb
7A2S	EXP_BEST	clean_7A2S.pdb
5Y2U	EXP_BEST	clean_5Y2U.pdb
4J5X	EXP_BEST	clean_4J5X.pdb
6I65	EXP_BEST	clean_6I65.pdb
5SJ3	EXP_BEST	clean_5SJ3.pdb
5NK6	EXP_BEST	clean_5NK6.pdb
8PC5	EXP_BEST	clean_8PC5.pdb
1M7L	EXP_BEST	clean_1M7L.pdb
1TBF	EXP_BEST	clean_1TBF.pdb
6WNY	EXP_BEST	clean_6WNY.pdb
2LOH	EXP_BEST	clean_2LOH.pdb
6SZE	EXP_BEST	clean_6SZE.pdb
5OKT	EXP_BEST	clean_5OKT.pdb
1YTO	EXP_BEST	clean_1YTO.pdb
5PWH	EXP_BEST	clean_5PWH.pdb
5NOB	EXP_BEST	clean_5NOB.pdb
4IE5	EXP_BEST	clean_4IE5.pdb
3JQ5	EXP_BEST	clean_3JQ5.pdb
2H4J	EXP_BEST	clean_2H4J.pdb
5HBE	EXP_BEST	clean_5HBE.pdb
6O4E	EXP_BEST	clean_6O4E.pdb
9BBB	EXP_BEST	clean_9BBB.pdb
4GMI	EXP_BEST	clean_4GMI.pdb
3FZP	EXP_BEST	clean_3FZP.pdb
4IVT	EXP_BEST	clean_4IVT.pdb
4I1F	EXP_BEST	clean_4I1F.pdb
1OJ6	EXP_BEST	clean_1OJ6.pdb
7O0B	EXP_BEST	clean_7O0B.pdb
1O4J	EXP_BEST	clean_1O4J.pdb
1ONI	EXP_BEST	clean_1ONI.pdb
1RHK	EXP_BEST	clean_1RHK.pdb
5SJ7	EXP_BEST	clean_5SJ7.pdb
4J1H	EXP_BEST	clean_4J1H.pdb
6H7Y	EXP_BEST	clean_6H7Y.pdb
2XWC	EXP_BEST	clean_2XWC.pdb
7U2Z	EXP_BEST	clean_7U2Z.pdb
6FIT	EXP_BEST	clean_6FIT.pdb
5PYY	EXP_BEST	clean_5PYY.pdb
4NDI	EXP_BEST	clean_4NDI.pdb
1HLZ	EXP_BEST	clean_1HLZ.pdb
8XMK	EXP_BEST	clean_8XMK.pdb
5MF7	EXP_BEST	clean_5MF7.pdb
3UIP	EXP_BEST	clean_3UIP.pdb
8BB4	EXP_BEST	clean_8BB4.pdb
5SJO	EXP_BEST	clean_5SJO.pdb
2E71	EXP_BEST	clean_2E71.pdb
2DNK	EXP_BEST	clean_2DNK.pdb
6AV3	EXP_BEST	clean_6AV3.pdb
1PDG	EXP_BEST	clean_1PDG.pdb
1PE3	EXP_BEST	clean_1PE3.pdb
1LE4	EXP_BEST	clean_1LE4.pdb
9G13	EXP_BEST	clean_9G13.pdb
2OUV	EXP_BEST	clean_2OUV.pdb
1SGZ	EXP_BEST	clean_1SGZ.pdb
6US7	EXP_BEST	clean_6US7.pdb
5PYI	EXP_BEST	clean_5PYI.pdb
6Y9R	EXP_BEST	clean_6Y9R.pdb
4WY6	EXP_BEST	clean_4WY6.pdb
4CUD	EXP_BEST	clean_4CUD.pdb
1HFP	EXP_BEST	clean_1HFP.pdb
4A63	EXP_BEST	clean_4A63.pdb
5HLW	EXP_BEST	clean_5HLW.pdb
2GA7	EXP_BEST	clean_2GA7.pdb
4KE1	EXP_BEST	clean_4KE1.pdb
2XWR	EXP_BEST	clean_2XWR.pdb
7VIE	EXP_BEST	clean_7VIE.pdb
5MG7	EXP_BEST	clean_5MG7.pdb
4RM9	EXP_BEST	clean_4RM9.pdb
5FVW	EXP_BEST	clean_5FVW.pdb
7DUO	EXP_BEST	clean_7DUO.pdb
9JE1	EXP_BEST	clean_9JE1.pdb
6OSP	EXP_BEST	clean_6OSP.pdb
2J1W	EXP_BEST	clean_2J1W.pdb
6EQ9	EXP_BEST	clean_6EQ9.pdb
8BQV	EXP_BEST	clean_8BQV.pdb
5WRI	EXP_BEST	clean_5WRI.pdb
2MTN	EXP_BEST	clean_2MTN.pdb
5MYO	EXP_BEST	clean_5MYO.pdb
6BB4	EXP_BEST	clean_6BB4.pdb
7DXJ	EXP_BEST	clean_7DXJ.pdb
6YHP	EXP_BEST	clean_6YHP.pdb
2FJZ	EXP_BEST	clean_2FJZ.pdb
1RWN	EXP_BEST	clean_1RWN.pdb
1XMK	EXP_BEST	clean_1XMK.pdb
4BUU	EXP_BEST	clean_4BUU.pdb
8SEI	EXP_BEST	clean_8SEI.pdb
4UWC	EXP_BEST	clean_4UWC.pdb
2ZJN	EXP_BEST	clean_2ZJN.pdb
8IT8	EXP_BEST	clean_8IT8.pdb
4A9C	EXP_BEST	clean_4A9C.pdb
2GWH	EXP_BEST	clean_2GWH.pdb
3OVL	EXP_BEST	clean_3OVL.pdb
4W9Y	EXP_BEST	clean_4W9Y.pdb
8T82	EXP_BEST	clean_8T82.pdb
4ZSQ	EXP_BEST	clean_4ZSQ.pdb
5U7J	EXP_BEST	clean_5U7J.pdb
3LM5	EXP_BEST	clean_3LM5.pdb
7SCD	EXP_BEST	clean_7SCD.pdb
7LBK	EXP_BEST	clean_7LBK.pdb
6NGE	EXP_BEST	clean_6NGE.pdb
6DJJ	EXP_BEST	clean_6DJJ.pdb
8QLR	EXP_BEST	clean_8QLR.pdb
7UL2	EXP_BEST	clean_7UL2.pdb
1YCR	EXP_BEST	clean_1YCR.pdb
7CQ6	EXP_BEST	clean_7CQ6.pdb
6SJU	EXP_BEST	clean_6SJU.pdb
5OL0	EXP_BEST	clean_5OL0.pdb
1HSE	EXP_BEST	clean_1HSE.pdb
7ORF	EXP_BEST	clean_7ORF.pdb
6LB5	EXP_BEST	clean_6LB5.pdb
1XN2	EXP_BEST	clean_1XN2.pdb
2CJY	EXP_BEST	clean_2CJY.pdb
3IFP	EXP_BEST	clean_3IFP.pdb
7CX3	EXP_BEST	clean_7CX3.pdb
1SAL	EXP_BEST	clean_1SAL.pdb
6SDW	EXP_BEST	clean_6SDW.pdb
5SHO	EXP_BEST	clean_5SHO.pdb
7ULX	EXP_BEST	clean_7ULX.pdb
1JY0	EXP_BEST	clean_1JY0.pdb
7MHD	EXP_BEST	clean_7MHD.pdb
3ZMQ	EXP_BEST	clean_3ZMQ.pdb
2A1X	EXP_BEST	clean_2A1X.pdb
7QJU	EXP_BEST	clean_7QJU.pdb
5XTZ	EXP_BEST	clean_5XTZ.pdb
7UP7	EXP_BEST	clean_7UP7.pdb
4WKE	EXP_BEST	clean_4WKE.pdb
8CVR	EXP_BEST	clean_8CVR.pdb
1PMV	EXP_BEST	clean_1PMV.pdb
3PCX	EXP_BEST	clean_3PCX.pdb
2HW9	EXP_BEST	clean_2HW9.pdb
8D0P	EXP_BEST	clean_8D0P.pdb
2N83	EXP_BEST	clean_2N83.pdb
7WMM	EXP_BEST	clean_7WMM.pdb
3QKL	EXP_BEST	clean_3QKL.pdb
8HN9	EXP_BEST	clean_8HN9.pdb
1RWK	EXP_BEST	clean_1RWK.pdb
4QHV	EXP_BEST	clean_4QHV.pdb
3TWS	EXP_BEST	clean_3TWS.pdb
8JPF	EXP_BEST	clean_8JPF.pdb
2BZF	EXP_BEST	clean_2BZF.pdb
4EHL	EXP_BEST	clean_4EHL.pdb
6VP7	EXP_BEST	clean_6VP7.pdb
4J1Z	EXP_BEST	clean_4J1Z.pdb
8WW2	EXP_BEST	clean_8WW2.pdb
5CEI	EXP_BEST	clean_5CEI.pdb
4KKH	EXP_BEST	clean_4KKH.pdb
5PZE	EXP_BEST	clean_5PZE.pdb
6NJS	EXP_BEST	clean_6NJS.pdb
3T7N	EXP_BEST	clean_3T7N.pdb
3FJH	EXP_BEST	clean_3FJH.pdb
8BI8	EXP_BEST	clean_8BI8.pdb
4CQE	EXP_BEST	clean_4CQE.pdb
6KO0	EXP_BEST	clean_6KO0.pdb
6HXF	EXP_BEST	clean_6HXF.pdb
8WST	EXP_BEST	clean_8WST.pdb
4CSJ	EXP_BEST	clean_4CSJ.pdb
1S3V	EXP_BEST	clean_1S3V.pdb
7K1D	EXP_BEST	clean_7K1D.pdb
4R95	EXP_BEST	clean_4R95.pdb
