Filename,Folder,Format,UniProt_ID,PDB_ID,Has_Match_In_Other_Folder
clean_Q92604.pdb,AlphaFold,PDB,clean_Q92604,N/A,False
clean_Q9BZ72.pdb,AlphaFold,PDB,clean_Q9BZ72,N/A,False
clean_Q8IZD6.pdb,AlphaFold,PDB,clean_Q8IZD6,N/A,False
clean_Q53EU6.pdb,AlphaFold,PDB,clean_Q53EU6,N/A,False
clean_Q16558.pdb,AlphaFold,PDB,clean_Q16558,N/A,False
clean_Q86V86.pdb,AlphaFold,PDB,clean_Q86V86,N/A,False
clean_O95406.pdb,AlphaFold,PDB,clean_O95406,N/A,False
clean_P48029.pdb,AlphaFold,PDB,clean_P48029,N/A,False
clean_Q9H0C2.pdb,AlphaFold,PDB,clean_Q9H0C2,N/A,False
clean_Q9HCI5.pdb,AlphaFold,PDB,clean_Q9HCI5,N/A,False
clean_Q9NYP3.pdb,AlphaFold,PDB,clean_Q9NYP3,N/A,False
clean_Q15760.pdb,AlphaFold,PDB,clean_Q15760,N/A,False
clean_Q5TA89.pdb,AlphaFold,PDB,clean_Q5TA89,N/A,False
clean_Q401N2.pdb,AlphaFold,PDB,clean_Q401N2,N/A,False
clean_Q08462.pdb,AlphaFold,PDB,clean_Q08462,N/A,False
clean_O14756.pdb,AlphaFold,PDB,clean_O14756,N/A,False
clean_Q9BU40.pdb,AlphaFold,PDB,clean_Q9BU40,N/A,False
clean_Q9NZS2.pdb,AlphaFold,PDB,clean_Q9NZS2,N/A,False
clean_Q99424.pdb,AlphaFold,PDB,clean_Q99424,N/A,False
clean_O43916.pdb,AlphaFold,PDB,clean_O43916,N/A,False
clean_Q15633.pdb,AlphaFold,PDB,clean_Q15633,N/A,False
clean_Q32ZL2.pdb,AlphaFold,PDB,clean_Q32ZL2,N/A,False
clean_Q9NPE2.pdb,AlphaFold,PDB,clean_Q9NPE2,N/A,False
clean_Q8WUD6.pdb,AlphaFold,PDB,clean_Q8WUD6,N/A,False
clean_Q53FV1.pdb,AlphaFold,PDB,clean_Q53FV1,N/A,False
clean_Q6PCB7.pdb,AlphaFold,PDB,clean_Q6PCB7,N/A,False
clean_Q9H8M7.pdb,AlphaFold,PDB,clean_Q9H8M7,N/A,False
clean_O75493.pdb,AlphaFold,PDB,clean_O75493,N/A,False
clean_Q8NC69.pdb,AlphaFold,PDB,clean_Q8NC69,N/A,False
clean_Q8WXU2.pdb,AlphaFold,PDB,clean_Q8WXU2,N/A,False
clean_Q70EL4.pdb,AlphaFold,PDB,clean_Q70EL4,N/A,False
clean_P02655.pdb,AlphaFold,PDB,clean_P02655,N/A,False
clean_Q9UEY8.pdb,AlphaFold,PDB,clean_Q9UEY8,N/A,False
clean_O75161.pdb,AlphaFold,PDB,clean_O75161,N/A,False
clean_Q8TB61.pdb,AlphaFold,PDB,clean_Q8TB61,N/A,False
clean_Q9UQP3.pdb,AlphaFold,PDB,clean_Q9UQP3,N/A,False
clean_P46721.pdb,AlphaFold,PDB,clean_P46721,N/A,False
clean_Q8IV36.pdb,AlphaFold,PDB,clean_Q8IV36,N/A,False
clean_Q9UBI4.pdb,AlphaFold,PDB,clean_Q9UBI4,N/A,False
clean_Q15777.pdb,AlphaFold,PDB,clean_Q15777,N/A,False
clean_Q4G0U5.pdb,AlphaFold,PDB,clean_Q4G0U5,N/A,False
clean_Q96L33.pdb,AlphaFold,PDB,clean_Q96L33,N/A,False
clean_P51689.pdb,AlphaFold,PDB,clean_P51689,N/A,False
clean_Q6P4F1.pdb,AlphaFold,PDB,clean_Q6P4F1,N/A,False
clean_Q70Z53.pdb,AlphaFold,PDB,clean_Q70Z53,N/A,False
clean_Q96IZ7.pdb,AlphaFold,PDB,clean_Q96IZ7,N/A,False
clean_P0CJ69.pdb,AlphaFold,PDB,clean_P0CJ69,N/A,False
clean_Q9C0K3.pdb,AlphaFold,PDB,clean_Q9C0K3,N/A,False
clean_Q9NYB5.pdb,AlphaFold,PDB,clean_Q9NYB5,N/A,False
clean_Q9Y4A0.pdb,AlphaFold,PDB,clean_Q9Y4A0,N/A,False
clean_Q9UF33.pdb,AlphaFold,PDB,clean_Q9UF33,N/A,False
clean_Q9P2X7.pdb,AlphaFold,PDB,clean_Q9P2X7,N/A,False
clean_A1KXE4.pdb,AlphaFold,PDB,clean_A1KXE4,N/A,False
clean_Q8TAD7.pdb,AlphaFold,PDB,clean_Q8TAD7,N/A,False
clean_Q02446.pdb,AlphaFold,PDB,clean_Q02446,N/A,False
clean_O60258.pdb,AlphaFold,PDB,clean_O60258,N/A,False
clean_Q66PJ3.pdb,AlphaFold,PDB,clean_Q66PJ3,N/A,False
clean_Q9UBL0.pdb,AlphaFold,PDB,clean_Q9UBL0,N/A,False
clean_Q9H1Z8.pdb,AlphaFold,PDB,clean_Q9H1Z8,N/A,False
clean_Q8IZ57.pdb,AlphaFold,PDB,clean_Q8IZ57,N/A,False
clean_P85298.pdb,AlphaFold,PDB,clean_P85298,N/A,False
clean_Q14642.pdb,AlphaFold,PDB,clean_Q14642,N/A,False
clean_O14817.pdb,AlphaFold,PDB,clean_O14817,N/A,False
clean_Q96AX9.pdb,AlphaFold,PDB,clean_Q96AX9,N/A,False
clean_Q8N859.pdb,AlphaFold,PDB,clean_Q8N859,N/A,False
clean_Q5W041.pdb,AlphaFold,PDB,clean_Q5W041,N/A,False
clean_Q12802.pdb,AlphaFold,PDB,clean_Q12802,N/A,False
clean_Q96MB7.pdb,AlphaFold,PDB,clean_Q96MB7,N/A,False
clean_P85299.pdb,AlphaFold,PDB,clean_P85299,N/A,False
clean_Q6T4R5.pdb,AlphaFold,PDB,clean_Q6T4R5,N/A,False
clean_Q4VXU2.pdb,AlphaFold,PDB,clean_Q4VXU2,N/A,False
clean_Q13516.pdb,AlphaFold,PDB,clean_Q13516,N/A,False
clean_Q9Y5R2.pdb,AlphaFold,PDB,clean_Q9Y5R2,N/A,False
clean_Q93052.pdb,AlphaFold,PDB,clean_Q93052,N/A,False
clean_Q5JVS0.pdb,AlphaFold,PDB,clean_Q5JVS0,N/A,False
clean_Q6TFL4.pdb,AlphaFold,PDB,clean_Q6TFL4,N/A,False
clean_Q96G28.pdb,AlphaFold,PDB,clean_Q96G28,N/A,False
clean_Q96P44.pdb,AlphaFold,PDB,clean_Q96P44,N/A,False
clean_Q96EU7.pdb,AlphaFold,PDB,clean_Q96EU7,N/A,False
clean_Q96PC2.pdb,AlphaFold,PDB,clean_Q96PC2,N/A,False
clean_Q9UKQ2.pdb,AlphaFold,PDB,clean_Q9UKQ2,N/A,False
clean_Q6ZWT7.pdb,AlphaFold,PDB,clean_Q6ZWT7,N/A,False
clean_Q9UKU0.pdb,AlphaFold,PDB,clean_Q9UKU0,N/A,False
clean_Q8NFZ3.pdb,AlphaFold,PDB,clean_Q8NFZ3,N/A,False
clean_Q9BZC7.pdb,AlphaFold,PDB,clean_Q9BZC7,N/A,False
clean_Q16617.pdb,AlphaFold,PDB,clean_Q16617,N/A,False
clean_Q13099.pdb,AlphaFold,PDB,clean_Q13099,N/A,False
clean_Q92963.pdb,AlphaFold,PDB,clean_Q92963,N/A,False
clean_P0CJ77.pdb,AlphaFold,PDB,clean_P0CJ77,N/A,False
clean_O95803.pdb,AlphaFold,PDB,clean_O95803,N/A,False
clean_O60443.pdb,AlphaFold,PDB,clean_O60443,N/A,False
clean_Q2VY69.pdb,AlphaFold,PDB,clean_Q2VY69,N/A,False
clean_Q8NFD2.pdb,AlphaFold,PDB,clean_Q8NFD2,N/A,False
clean_O14544.pdb,AlphaFold,PDB,clean_O14544,N/A,False
