From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
CARD14	Q9BXL6	reviewed	CAR14_HUMAN	Caspase recruitment domain-containing protein 14 (CARD-containing MAGUK protein 2) (Carma 2)	CARD14 CARMA2	Homo sapiens (Human)
CDCA4	Q9BXL8	reviewed	CDCA4_HUMAN	Cell division cycle-associated protein 4 (Hematopoietic progenitor protein)	CDCA4 HEPP	Homo sapiens (Human)
SLC12A9	Q9BXP2	reviewed	S12A9_HUMAN	Solute carrier family 12 member 9 (Cation-chloride cotransporter 6) (hCCC6) (Cation-chloride cotransporter-interacting protein 1) (CCC-interacting protein 1) (hCIP1) (Potassium-chloride transporter 9) (WO3.3)	SLC12A9 CCC6 CIP1	Homo sapiens (Human)
TMEM121B	Q9BXQ6	reviewed	T121B_HUMAN	Transmembrane protein 121B (Cat eye syndrome critical region protein 6)	TMEM121B CECR6	Homo sapiens (Human)
COL25A1	Q9BXS0	reviewed	COPA1_HUMAN	Collagen alpha-1(XXV) chain (Alzheimer disease amyloid-associated protein) (AMY) (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)]	COL25A1	Homo sapiens (Human)
CALN1	Q9BXU9	reviewed	CABP8_HUMAN	Calcium-binding protein 8 (CaBP8) (Calneuron I) (Calneuron-1)	CALN1 CABP8	Homo sapiens (Human)
ORP1	Q9BXW6	reviewed	OSBL1_HUMAN	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B	Homo sapiens (Human)
EMILIN2	Q9BXX0	reviewed	EMIL2_HUMAN	EMILIN-2 (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2) (Protein FOAP-10)	EMILIN2	Homo sapiens (Human)
ANKRD30B	Q9BXX2	reviewed	AN30B_HUMAN	Ankyrin repeat domain-containing protein 30B (Serologically defined breast cancer antigen NY-BR-1.1)	ANKRD30B	Homo sapiens (Human)
CAPS2	Q9BXY5	reviewed	CAYP2_HUMAN	Calcyphosin-2 (Calcyphosine-2)	CAPS2 UG0636c06	Homo sapiens (Human)
SLC4A5	Q9BY07	reviewed	S4A5_HUMAN	Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5)	SLC4A5 NBC4	Homo sapiens (Human)
DGCR6L	Q9BY27	reviewed	DGC6L_HUMAN	Protein DGCR6L (DiGeorge syndrome critical region 6-like protein)	DGCR6L	Homo sapiens (Human)
GABARAPL3	Q9BY60	reviewed	GBRL3_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 3 (GABA(A) receptor-associated protein-like 3)	GABARAPL3	Homo sapiens (Human)
LRRC3	Q9BY71	reviewed	LRRC3_HUMAN	Leucine-rich repeat-containing protein 3	LRRC3 C21orf102 LRRC3A UNQ9233/PRO31982	Homo sapiens (Human)
ARP4	Q9BY76	reviewed	ANGL4_HUMAN	Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP) [Cleaved into: ANGPTL4 N-terminal chain; ANGPTL4 C-terminal chain]	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197	Homo sapiens (Human)
MFRP	Q9BY79	reviewed	MFRP_HUMAN	Membrane frizzled-related protein (Membrane-type frizzled-related protein)	MFRP	Homo sapiens (Human)
GNB1L	Q9BYB4	reviewed	GNB1L_HUMAN	Guanine nucleotide-binding protein subunit beta-like protein 1 (G protein subunit beta-like protein 1) (DGCRK3) (WD repeat-containing protein 14) (WD40 repeat-containing protein deleted in VCFS) (WDVCF)	GNB1L GY2 KIAA1645 WDR14 FKSG1	Homo sapiens (Human)
B3GNT5	Q9BYG0	reviewed	B3GN5_HUMAN	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase (EC 2.4.1.206) (Lactotriaosylceramide synthase) (Lc(3)Cer synthase) (Lc3 synthase) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5) (BGnT-5) (Beta-1,3-Gn-T5) (Beta-1,3-N-acetylglucosaminyltransferase 5) (Beta3Gn-T5)	B3GNT5	Homo sapiens (Human)
XAP4	Q9BYM8	reviewed	HOIL1_HUMAN	RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3)	RBCK1 C20orf18 RNF54 UBCE7IP3 XAP3 XAP4	Homo sapiens (Human)
SLC17A9	Q9BYT1	reviewed	S17A9_HUMAN	Voltage-gated purine nucleotide uniporter SLC17A9 (Solute carrier family 17 member 9) (Vesicular nucleotide transporter) (VNUT)	SLC17A9 C20orf59	Homo sapiens (Human)
RHOBTB2	Q9BYZ6	reviewed	RHBT2_HUMAN	Rho-related BTB domain-containing protein 2 (Deleted in breast cancer 2 gene protein) (p83)	RHOBTB2 DBC2 KIAA0717	Homo sapiens (Human)
PITPNM3	Q9BZ71	reviewed	PITM3_HUMAN	Membrane-associated phosphatidylinositol transfer protein 3 (Phosphatidylinositol transfer protein, membrane-associated 3) (PITPnm 3) (Pyk2 N-terminal domain-interacting receptor 1) (NIR-1)	PITPNM3 NIR1	Homo sapiens (Human)
PITPNM2	Q9BZ72	reviewed	PITM2_HUMAN	Membrane-associated phosphatidylinositol transfer protein 2 (Phosphatidylinositol transfer protein, membrane-associated 2) (PITPnm 2) (Pyk2 N-terminal domain-interacting receptor 3) (NIR-3)	PITPNM2 KIAA1457 NIR3	Homo sapiens (Human)
PCDH11X	Q9BZA7	reviewed	PC11X_HUMAN	Protocadherin-11 X-linked (Protocadherin-11) (Protocadherin on the X chromosome) (PCDH-X) (Protocadherin-S)	PCDH11X KIAA1326 PCDH11 PCDHX	Homo sapiens (Human)
PCDH11	Q9BZA8	reviewed	PC11Y_HUMAN	Protocadherin-11 Y-linked (Protocadherin-11) (Protocadherin on the Y chromosome) (PCDH-Y) (Protocadherin prostate cancer) (Protocadherin-PC) (Protocadherin-22)	PCDH11Y PCDH11 PCDH22 PCDHY	Homo sapiens (Human)
ABCA2	Q9BZC7	reviewed	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	ABCA2 ABC2 KIAA1062	Homo sapiens (Human)
SLC29A3	Q9BZD2	reviewed	S29A3_HUMAN	Equilibrative nucleoside transporter 3 (hENT3) (Solute carrier family 29 member 3)	SLC29A3 ENT3 UNQ717/PRO1380	Homo sapiens (Human)
PRRG3	Q9BZD7	reviewed	TMG3_HUMAN	Transmembrane gamma-carboxyglutamic acid protein 3 (Proline-rich gamma-carboxyglutamic acid protein 3) (Proline-rich Gla protein 3)	PRRG3 PRGP3 TMG3	Homo sapiens (Human)
OSBPL6	Q9BZF3	reviewed	OSBL6_HUMAN	Oxysterol-binding protein-related protein 6 (ORP-6) (OSBP-related protein 6)	OSBPL6 ORP6	Homo sapiens (Human)
ACP4	Q9BZG2	reviewed	PPAT_HUMAN	Testicular acid phosphatase (EC 3.1.3.2) (Acid phosphatase 4)	ACP4 ACPT	Homo sapiens (Human)
DPH1	Q9BZG8	reviewed	DPH1_HUMAN	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (Ovarian cancer-associated gene 1 protein) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1)	DPH1 DPH2L DPH2L1 OVCA1	Homo sapiens (Human)
GPR63	Q9BZJ6	reviewed	GPR63_HUMAN	Probable G-protein coupled receptor 63 (PSP24-2) (PSP24-beta)	GPR63 PSP24B	Homo sapiens (Human)
GPR62	Q9BZJ7	reviewed	GPR62_HUMAN	G-protein coupled receptor 62 (G-protein coupled receptor GPCR8) (hGPCR8) (G-protein coupled receptor KPG_005)	GPR62	Homo sapiens (Human)
ULBP1	Q9BZM6	reviewed	ULBP1_HUMAN	UL16-binding protein 1 (ALCAN-beta) (NKG2D ligand 1) (N2DL-1) (NKG2DL1) (Retinoic acid early transcript 1I)	ULBP1 N2DL1 RAET1I	Homo sapiens (Human)
NMNAT2	Q9BZQ4	reviewed	NMNA2_HUMAN	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide mononucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2)	NMNAT2 C1orf15 KIAA0479	Homo sapiens (Human)
SIGLEC1	Q9BZZ2	reviewed	SN_HUMAN	Sialoadhesin (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169)	SIGLEC1 SN	Homo sapiens (Human)
NKX6-2	Q9C056	reviewed	NKX62_HUMAN	Homeobox protein Nkx-6.2 (Homeobox protein NK-6 homolog B)	NKX6-2 GTX NKX6B	Homo sapiens (Human)
TNKS1BP1	Q9C0C2	reviewed	TB182_HUMAN	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)
SELENOI	Q9C0D9	reviewed	EPT1_HUMAN	Ethanolaminephosphotransferase 1 (hEPT1) (EC 2.7.8.1) (Selenoprotein I) (SelI)	SELENOI EPT1 KIAA1724 SELI	Homo sapiens (Human)
ZNF436	Q9C0F3	reviewed	ZN436_HUMAN	Zinc finger protein 436	ZNF436 KIAA1710	Homo sapiens (Human)
MTMR12	Q9C0I1	reviewed	MTMRC_HUMAN	Myotubularin-related protein 12 (Inactive phosphatidylinositol 3-phosphatase 12) (Phosphatidylinositol 3 phosphate 3-phosphatase adapter subunit) (3-PAP) (3-phosphatase adapter protein)	MTMR12 KIAA1682 PIP3AP	Homo sapiens (Human)
B3GNT4	Q9C0J1	reviewed	B3GN4_HUMAN	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4)	B3GNT4 UNQ1898/PRO4344	Homo sapiens (Human)
BHLHE41	Q9C0J9	reviewed	BHE41_HUMAN	Class E basic helix-loop-helix protein 41 (bHLHe41) (Class B basic helix-loop-helix protein 3) (bHLHb3) (Differentially expressed in chondrocytes protein 2) (hDEC2) (Enhancer-of-split and hairy-related protein 1) (SHARP-1)	BHLHE41 BHLHB3 DEC2 SHARP1	Homo sapiens (Human)
BCL11B	Q9C0K0	reviewed	BC11B_HUMAN	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)	BCL11B CTIP2 RIT1	Homo sapiens (Human)
SLC39A8	Q9C0K1	reviewed	S39A8_HUMAN	Metal cation symporter ZIP8 (BCG-induced integral membrane protein in monocyte clone 103 protein) (LIV-1 subfamily of ZIP zinc transporter 6) (LZT-Hs6) (Solute carrier family 39 member 8) (Zrt- and Irt-like protein 8) (ZIP-8)	SLC39A8 BIGM103 ZIP8 PP3105	Homo sapiens (Human)
ARP11	Q9C0K3	reviewed	ARP3C_HUMAN	Actin-related protein 3C (Actin-related protein 11)	ACTR3C ARP11	Homo sapiens (Human)
TGIF2	Q9GZN2	reviewed	TGIF2_HUMAN	Homeobox protein TGIF2 (5'-TG-3'-interacting factor 2) (TGF-beta-induced transcription factor 2) (TGFB-induced factor 2)	TGIF2	Homo sapiens (Human)
PDGFD	Q9GZP0	reviewed	PDGFD_HUMAN	Platelet-derived growth factor D (PDGF-D) (Iris-expressed growth factor) (Spinal cord-derived growth factor B) (SCDGF-B) [Cleaved into: Platelet-derived growth factor D, latent form (PDGFD latent form); Platelet-derived growth factor D, receptor-binding form (PDGFD receptor-binding form)]	PDGFD IEGF SCDGFB MSTP036 UNQ1899/PRO4345	Homo sapiens (Human)
VN1R1	Q9GZP7	reviewed	VN1R1_HUMAN	Vomeronasal type-1 receptor 1 (G-protein coupled receptor GPCR24) (hGPCR24) (V1r-like receptor 1) (V3r-related gene protein) (Vomeronasal olfactory receptor chromosome 19 subtype I member 1)	VN1R1 V1RL1 VNR19I1	Homo sapiens (Human)
ELOVL4	Q9GZR5	reviewed	ELOV4_HUMAN	Very long chain fatty acid elongase 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Elongation of very long chain fatty acids protein 4) (Very long chain 3-ketoacyl-CoA synthase 4) (Very long chain 3-oxoacyl-CoA synthase 4)	ELOVL4	Homo sapiens (Human)
DDX24	Q9GZR7	reviewed	DDX24_HUMAN	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	Homo sapiens (Human)
NYX	Q9GZU5	reviewed	NYX_HUMAN	Nyctalopin	NYX CLRP	Homo sapiens (Human)
HAPLN2	Q9GZV7	reviewed	HPLN2_HUMAN	Hyaluronan and proteoglycan link protein 2 (Brain link protein 1)	HAPLN2 BRAL1	Homo sapiens (Human)
CHST6	Q9GZX3	reviewed	CHST6_HUMAN	Carbohydrate sulfotransferase 6 (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5)	CHST6	Homo sapiens (Human)
MFF	Q9GZY8	reviewed	MFF_HUMAN	Mitochondrial fission factor	MFF C2orf33 AD030 AD033 GL004	Homo sapiens (Human)
SLC22A4	Q9H015	reviewed	S22A4_HUMAN	Solute carrier family 22 member 4 (Ergothioneine transporter) (ET transporter) (ETTh) (Organic cation/carnitine transporter 1) (OCTN1)	SLC22A4 ETT OCTN1 UT2H	Homo sapiens (Human)
TMEM126A	Q9H061	reviewed	T126A_HUMAN	Transmembrane protein 126A	TMEM126A	Homo sapiens (Human)
SLC25A31	Q9H0C2	reviewed	ADT4_HUMAN	ADP/ATP translocase 4 (ADP,ATP carrier protein 4) (Adenine nucleotide translocator 4) (ANT 4) (Solute carrier family 25 member 31) (Sperm flagellar energy carrier protein)	SLC25A31 AAC4 ANT4 SFEC	Homo sapiens (Human)
XRN2	Q9H0D6	reviewed	XRN2_HUMAN	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XRN2	Homo sapiens (Human)
BRD8	Q9H0E9	reviewed	BRD8_HUMAN	Bromodomain-containing protein 8 (Skeletal muscle abundant protein) (Skeletal muscle abundant protein 2) (Thyroid hormone receptor coactivating protein of 120 kDa) (TrCP120) (p120)	BRD8 SMAP SMAP2	Homo sapiens (Human)
RAB6C	Q9H0N0	reviewed	RAB6C_HUMAN	Ras-related protein Rab-6C (EC 3.6.5.2) (Rab6-like protein WTH3)	RAB6C WTH3	Homo sapiens (Human)
TMEM222	Q9H0R3	reviewed	TM222_HUMAN	Transmembrane protein 222	TMEM222 C1orf160	Homo sapiens (Human)
TSPYL1	Q9H0U9	reviewed	TSYL1_HUMAN	Testis-specific Y-encoded-like protein 1 (TSPY-like protein 1)	TSPYL1 TSPYL	Homo sapiens (Human)
LMAN2L	Q9H0V9	reviewed	LMA2L_HUMAN	VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein)	LMAN2L VIPL PSEC0028 UNQ368/PRO704	Homo sapiens (Human)
GZF1	Q9H116	reviewed	GZF1_HUMAN	GDNF-inducible zinc finger protein 1 (Zinc finger and BTB domain-containing protein 23) (Zinc finger protein 336)	GZF1 ZBTB23 ZNF336	Homo sapiens (Human)
SLITRK2	Q9H156	reviewed	SLIK2_HUMAN	SLIT and NTRK-like protein 2	SLITRK2 CXorf2 KIAA1854 SLITL1 UNQ9197/PRO34756	Homo sapiens (Human)
ABCG4	Q9H172	reviewed	ABCG4_HUMAN	ATP-binding cassette sub-family G member 4 (EC 7.6.2.-)	ABCG4 WHITE2	Homo sapiens (Human)
KIF13A	Q9H1H9	reviewed	KI13A_HUMAN	Kinesin-like protein KIF13A (Kinesin-like protein RBKIN)	KIF13A RBKIN	Homo sapiens (Human)
SLC25A18	Q9H1K4	reviewed	GHC2_HUMAN	Mitochondrial glutamate carrier 2 (GC-2) (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18)	SLC25A18 GC2	Homo sapiens (Human)
ECRG4	Q9H1Z8	reviewed	AUGN_HUMAN	Augurin (Esophageal cancer-related gene 4 protein) (ECRG4)	ECRG4 C2orf40 UNQ761/PRO1508	Homo sapiens (Human)
MMP28	Q9H239	reviewed	MMP28_HUMAN	Matrix metalloproteinase-28 (MMP-28) (EC 3.4.24.-) (Epilysin)	MMP28 MMP25 UNQ1893/PRO4339	Homo sapiens (Human)
SPTBN4	Q9H254	reviewed	SPTN4_HUMAN	Spectrin beta chain, non-erythrocytic 4 (Beta-IV spectrin) (Spectrin, non-erythroid beta chain 3)	SPTBN4 KIAA1642 SPTBN3	Homo sapiens (Human)
CXCL16	Q9H2A7	reviewed	CXL16_HUMAN	C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16)	CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714	Homo sapiens (Human)
CHST8	Q9H2A9	reviewed	CHST8_HUMAN	Carbohydrate sulfotransferase 8 (EC 2.8.2.-) (GalNAc-4-O-sulfotransferase 1) (GalNAc-4-ST1) (GalNAc4ST-1) (N-acetylgalactosamine-4-O-sulfotransferase 1)	CHST8	Homo sapiens (Human)
SLC26A1	Q9H2B4	reviewed	S26A1_HUMAN	Sulfate anion transporter 1 (SAT-1) (Solute carrier family 26 member 1)	SLC26A1 SAT1	Homo sapiens (Human)
LHX5	Q9H2C1	reviewed	LHX5_HUMAN	LIM/homeobox protein Lhx5 (LIM homeobox protein 5)	LHX5	Homo sapiens (Human)
TRIOBP	Q9H2D6	reviewed	TARA_HUMAN	TRIO and F-actin-binding protein (Protein Tara) (TRF1-associated protein of 68 kDa) (Trio-associated repeat on actin)	TRIOBP KIAA1662 TARA HRIHFB2122	Homo sapiens (Human)
STK2	Q9H2G2	reviewed	SLK_HUMAN	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK KIAA0204 STK2	Homo sapiens (Human)
TSPYL2	Q9H2G4	reviewed	TSYL2_HUMAN	Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Cell division autoantigen 1) (Cutaneous T-cell lymphoma-associated antigen se20-4) (CTCL-associated antigen se20-4) (Differentially-expressed nucleolar TGF-beta1 target protein) (Nuclear protein of 79 kDa) (NP79)	TSPYL2 CDA1 DENTT TSPX HRIHFB2216	Homo sapiens (Human)
SAT1	Q9H2H9	reviewed	S38A1_HUMAN	Sodium-coupled neutral amino acid symporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1)	SLC38A1 ATA1 NAT2 SAT1 SNAT1	Homo sapiens (Human)
SLC6A15	Q9H2J7	reviewed	S6A15_HUMAN	Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3)	SLC6A15 B0AT2 NTT73 SBAT1	Homo sapiens (Human)
BHMT2	Q9H2M3	reviewed	BHMT2_HUMAN	S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)	BHMT2	Homo sapiens (Human)
ADNP	Q9H2P0	reviewed	ADNP_HUMAN	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	ADNP ADNP1 KIAA0784	Homo sapiens (Human)
PPA2	Q9H2U2	reviewed	IPYR2_HUMAN	Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphatase SID6-306) (Pyrophosphate phospho-hydrolase 2) (PPase 2)	PPA2 HSPC124	Homo sapiens (Human)
CDIP1	Q9H305	reviewed	CDIP1_HUMAN	Cell death-inducing p53-target protein 1 (Cell death involved p53-target) (Cell death-inducing protein) (LITAF-like protein) (Lipopolysaccharide-induced tumor necrosis factor-alpha-like protein) (Transmembrane protein I1)	CDIP1 C16orf5 CDIP LITAFL	Homo sapiens (Human)
PNN	Q9H307	reviewed	PININ_HUMAN	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	PNN DRS MEMA	Homo sapiens (Human)
EPB41L4B	Q9H329	reviewed	E41LB_HUMAN	Band 4.1-like protein 4B (Erythrocyte membrane protein band 4.1-like 4B) (FERM-containing protein CG1) (Protein EHM2)	EPB41L4B EHM2 LULU2	Homo sapiens (Human)
KCNF1	Q9H3M0	reviewed	KCNF1_HUMAN	Voltage-gated potassium channel regulatory subunit KCNF1 (Potassium voltage-gated channel subfamily F member 1) (Voltage-gated potassium channel subunit Kv5.1) (kH1)	KCNF1	Homo sapiens (Human)
TMPRSS5	Q9H3S3	reviewed	TMPS5_HUMAN	Transmembrane protease serine 5 (EC 3.4.21.-) (Spinesin)	TMPRSS5	Homo sapiens (Human)
SEMA6B	Q9H3T3	reviewed	SEM6B_HUMAN	Semaphorin-6B (Semaphorin-Z) (Sema Z)	SEMA6B SEMAN SEMAZ UNQ1907/PRO4353	Homo sapiens (Human)
SMAP2	Q9H3U7	reviewed	SMOC2_HUMAN	SPARC-related modular calcium-binding protein 2 (Secreted modular calcium-binding protein 2) (SMOC-2) (Smooth muscle-associated protein 2) (SMAP-2)	SMOC2 SMAP2 MSTP117	Homo sapiens (Human)
MS4A5	Q9H3V2	reviewed	MS4A5_HUMAN	Membrane-spanning 4-domains subfamily A member 5 (CD20 antigen-like 2) (Testis-expressed transmembrane protein 4)	MS4A5 CD20L2 TETM4	Homo sapiens (Human)
CLSTN2	Q9H4D0	reviewed	CSTN2_HUMAN	Calsyntenin-2 (Alcadein-gamma) (Alc-gamma)	CLSTN2 CS2	Homo sapiens (Human)
RHOJ	Q9H4E5	reviewed	RHOJ_HUMAN	Rho-related GTP-binding protein RhoJ (Ras-like protein family member 7B) (Tc10-like GTP-binding protein)	RHOJ ARHJ RASL7B RHOI TCL	Homo sapiens (Human)
EPB41L1	Q9H4G0	reviewed	E41L1_HUMAN	Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N)	EPB41L1 KIAA0338	Homo sapiens (Human)
RGCC	Q9H4X1	reviewed	RGCC_HUMAN	Regulator of cell cycle RGCC (Response gene to complement 32 protein) (RGC-32)	RGCC C13orf15 RGC32	Homo sapiens (Human)
BANF2	Q9H503	reviewed	BAFL_HUMAN	Barrier-to-autointegration factor-like protein (BAF-L) (Barrier-to-autointegration factor 2)	BANF2 BAFL C20orf179	Homo sapiens (Human)
POMK	Q9H5K3	reviewed	SG196_HUMAN	Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	POMK SGK196	Homo sapiens (Human)
IKZF5	Q9H5V7	reviewed	IKZF5_HUMAN	Zinc finger protein Pegasus (Ikaros family zinc finger protein 5)	IKZF5 ZNFN1A5	Homo sapiens (Human)
SLITRK6	Q9H5Y7	reviewed	SLIK6_HUMAN	SLIT and NTRK-like protein 6	SLITRK6	Homo sapiens (Human)
U2AF1L4	Q9H665	reviewed	IGFR1_HUMAN	IGF-like family receptor 1 (Transmembrane protein 149) (U2 small nuclear RNA auxiliary factor 1-like 4)	IGFLR1 TMEM149 U2AF1L4	Homo sapiens (Human)
FNDC4	Q9H6D8	reviewed	FNDC4_HUMAN	Fibronectin type III domain-containing protein 4 (Fibronectin type III repeat-containing protein 1) [Cleaved into: Soluble FNDC4 (sFNDC4)]	FNDC4 FRCP1 UNQ6389/PRO21134	Homo sapiens (Human)
BCAS3	Q9H6U6	reviewed	BCAS3_HUMAN	BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3) (GAOB1)	BCAS3	Homo sapiens (Human)
ATR	Q9H6X2	reviewed	ANTR1_HUMAN	Anthrax toxin receptor 1 (Tumor endothelial marker 8)	ANTXR1 ATR TEM8	Homo sapiens (Human)
ASB8	Q9H765	reviewed	ASB8_HUMAN	Ankyrin repeat and SOCS box protein 8 (ASB-8)	ASB8 PP14212	Homo sapiens (Human)
SCAF1	Q9H7N4	reviewed	SFR19_HUMAN	Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1) (SR-related and CTD-associated factor 1) (SR-related-CTD-associated factor) (SCAF) (Serine arginine-rich pre-mRNA splicing factor SR-A1) (SR-A1)	SCAF1 SFRS19 SRA1	Homo sapiens (Human)
PTGES2	Q9H7Z7	reviewed	PGES2_HUMAN	Prostaglandin E synthase 2 (EC 5.3.99.3) (Membrane-associated prostaglandin E synthase-2) (mPGE synthase-2) (Microsomal prostaglandin E synthase 2) (mPGES-2) (Prostaglandin-H(2) E-isomerase) [Cleaved into: Prostaglandin E synthase 2 truncated form]	PTGES2 C9orf15 PGES2	Homo sapiens (Human)
YY1AP1	Q9H869	reviewed	YYAP1_HUMAN	YY1-associated protein 1 (Hepatocellular carcinoma susceptibility protein) (Hepatocellular carcinoma-associated protein 2)	YY1AP1 HCCA2 YY1AP	Homo sapiens (Human)
KAT14	Q9H8E8	reviewed	CSR2B_HUMAN	Cysteine-rich protein 2-binding protein (CSRP2-binding protein) (ADA2A-containing complex subunit 2) (ATAC2) (CRP2-binding partner) (CRP2BP) (Lysine acetyltransferase 14)	KAT14 CSRP2BP	Homo sapiens (Human)
MINDY3	Q9H8M7	reviewed	MINY3_HUMAN	Ubiquitin carboxyl-terminal hydrolase MINDY-3 (EC 3.4.19.12) (Dermal papilla-derived protein 5) (Deubiquitinating enzyme MINDY-3) (Protein CARP)	MINDY3 C10orf97 CARP DERP5 FAM188A MSTP126 My042	Homo sapiens (Human)
IPPK	Q9H8X2	reviewed	IPPK_HUMAN	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (IPK1 homolog) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)	IPPK C9orf12	Homo sapiens (Human)
SLC25A22	Q9H936	reviewed	GHC1_HUMAN	Mitochondrial glutamate carrier 1 (GC-1) (Glutamate/H(+) symporter 1) (Solute carrier family 25 member 22)	SLC25A22 GC1	Homo sapiens (Human)
GLP	Q9H9B1	reviewed	EHMT1_HUMAN	Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D)	EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D	Homo sapiens (Human)
