From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
FLRT2	O43155	reviewed	FLRT2_HUMAN	Leucine-rich repeat transmembrane protein FLRT2 (Fibronectin-like domain-containing leucine-rich transmembrane protein 2)	FLRT2 KIAA0405 UNQ232/PRO265	Homo sapiens (Human)
CYP26A1	O43174	reviewed	CP26A_HUMAN	Cytochrome P450 26A1 (CYP26A1) (EC 1.14.13.-) (Cytochrome P450 retinoic acid-inactivating 1) (Cytochrome P450RAI) (hP450RAI) (Retinoic acid 4-hydroxylase) (Retinoic acid-metabolizing cytochrome)	CYP26A1 CYP26 P450RAI1	Homo sapiens (Human)
ARHGAP6	O43182	reviewed	RHG06_HUMAN	Rho GTPase-activating protein 6 (Rho-type GTPase-activating protein 6) (Rho-type GTPase-activating protein RhoGAPX-1)	ARHGAP6 RHOGAP6	Homo sapiens (Human)
ADAM12	O43184	reviewed	ADA12_HUMAN	Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12) (EC 3.4.24.-) (Meltrin-alpha)	ADAM12 MLTN UNQ346/PRO545	Homo sapiens (Human)
PRODH	O43272	reviewed	PROD_HUMAN	Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Proline oxidase) (Proline oxidase 2) (p53-induced gene 6 protein)	PRODH PIG6 POX2 PRODH2	Homo sapiens (Human)
MAP3K13	O43283	reviewed	M3K13_HUMAN	Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)	MAP3K13 LZK	Homo sapiens (Human)
SRGAP3	O43295	reviewed	SRGP3_HUMAN	SLIT-ROBO Rho GTPase-activating protein 3 (srGAP3) (Mental disorder-associated GAP) (Rho GTPase-activating protein 14) (WAVE-associated Rac GTPase-activating protein) (WRP)	SRGAP3 ARHGAP14 KIAA0411 KIAA1156 MEGAP SRGAP2	Homo sapiens (Human)
ZNF264	O43296	reviewed	ZN264_HUMAN	Zinc finger protein 264	ZNF264 KIAA0412	Homo sapiens (Human)
HSPA12A	O43301	reviewed	HS12A_HUMAN	Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A)	HSPA12A KIAA0417	Homo sapiens (Human)
MSI1	O43347	reviewed	MSI1H_HUMAN	RNA-binding protein Musashi homolog 1 (Musashi-1)	MSI1	Homo sapiens (Human)
WDR62	O43379	reviewed	WDR62_HUMAN	WD repeat-containing protein 62	WDR62 C19orf14	Homo sapiens (Human)
FIBP	O43427	reviewed	FIBP_HUMAN	Acidic fibroblast growth factor intracellular-binding protein (aFGF intracellular-binding protein) (FGF-1 intracellular-binding protein)	FIBP	Homo sapiens (Human)
CBFA2T2	O43439	reviewed	MTG8R_HUMAN	Protein CBFA2T2 (ETO homologous on chromosome 20) (MTG8-like protein) (MTG8-related protein 1) (Myeloid translocation-related protein 1) (p85)	CBFA2T2 EHT MTGR1	Homo sapiens (Human)
KCNAB3	O43448	reviewed	KCAB3_HUMAN	Voltage-gated potassium channel subunit beta-3 (EC 1.1.1.-) (K(+) channel subunit beta-3) (Kv-beta-3)	KCNAB3 KCNA3B	Homo sapiens (Human)
MBTPS2	O43462	reviewed	MBTP2_HUMAN	Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P) (Sterol regulatory element-binding proteins intramembrane protease) (SREBPs intramembrane protease)	MBTPS2 S2P	Homo sapiens (Human)
PROM1	O43490	reviewed	PROM1_HUMAN	Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133)	PROM1 PROML1 MSTP061	Homo sapiens (Human)
B4GAT1	O43505	reviewed	B4GA1_HUMAN	Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1 B3GNT1 B3GNT6	Homo sapiens (Human)
SLC26A4	O43511	reviewed	S26A4_HUMAN	Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4)	SLC26A4 PDS	Homo sapiens (Human)
CHST10	O43529	reviewed	CHSTA_HUMAN	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	CHST10	Homo sapiens (Human)
SMAD6	O43541	reviewed	SMAD6_HUMAN	Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (SMAD family member 6) (SMAD 6) (Smad6) (hSMAD6)	SMAD6 MADH6	Homo sapiens (Human)
GNRH2	O43555	reviewed	GON2_HUMAN	Progonadoliberin-2 (Progonadoliberin II) [Cleaved into: Gonadoliberin-2 (Gonadoliberin II) (Gonadotropin-releasing hormone II) (GnRH II) (Luliberin II) (Luteinizing hormone-releasing hormone II) (LH-RH II); GnRH-associated peptide 2 (GnRH-associated peptide II)]	GNRH2	Homo sapiens (Human)
HR	O43593	reviewed	HAIR_HUMAN	Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless)	HR	Homo sapiens (Human)
SPRY3	O43610	reviewed	SPY3_HUMAN	Protein sprouty homolog 3 (Spry-3) (Sprouty RTK signaling antagonist 3) (Sprouty3)	SPRY3	Homo sapiens (Human)
SNAI2	O43623	reviewed	SNAI2_HUMAN	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	SNAI2 SLUG SLUGH	Homo sapiens (Human)
PSCA	O43653	reviewed	PSCA_HUMAN	Prostate stem cell antigen	PSCA UNQ206/PRO232	Homo sapiens (Human)
AKAP7	O43687	reviewed	AKA7A_HUMAN	A-kinase anchor protein 7 isoforms alpha and beta (AKAP-7 isoforms alpha and beta) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoforms alpha/beta) (PRKA7 isoforms alpha/beta)	AKAP7 AKAP15 AKAP18	Homo sapiens (Human)
PLPP2	O43688	reviewed	PLPP2_HUMAN	Phospholipid phosphatase 2 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 2) (PAP2-gamma) (PAP2-G) (Phosphatidate phosphohydrolase type 2c) (Phosphatidic acid phosphatase 2c) (PAP-2c) (PAP2c)	PLPP2 LPP2 PPAP2C	Homo sapiens (Human)
SYNGR2	O43760	reviewed	SNG2_HUMAN	Synaptogyrin-2 (Cellugyrin)	SYNGR2 UNQ352/PRO615	Homo sapiens (Human)
SYNGR3	O43761	reviewed	SNG3_HUMAN	Synaptogyrin-3	SYNGR3	Homo sapiens (Human)
ENSA	O43768	reviewed	ENSA_HUMAN	Alpha-endosulfine (ARPP-19e)	ENSA	Homo sapiens (Human)
STRN	O43815	reviewed	STRN_HUMAN	Striatin	STRN	Homo sapiens (Human)
B3GALT2	O43825	reviewed	B3GT2_HUMAN	Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2)	B3GALT2	Homo sapiens (Human)
CALU	O43852	reviewed	CALU_HUMAN	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	Homo sapiens (Human)
